"Name","Price","Location","Total_Area","Price_per_SQFT","Description","Baths","Balcony","Number of BHK","City"
"Fortuna Acacia","₹82.0 L","Sahakara Nagar",1100,7450,"One of the finest property in Sahakara Nagar is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 4. It is a 10 storeyed building. The price of this Apartment is Rs 82.0 L. This Apartment is spacious with a built-up area of 1100 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as Bangalore Education Guide Line Pvt Ltd, SIP Sahakar Nagar, and Shemrock Disneyland. It is also close to good and reputed hospitals like Motherhood Hospital Hebbal, Columbia...",3,"Yes",2,"Bangalore"
"Kumar Princetown","₹71.0 L","Shetty Halli",1080,6570,"2 BHK Apartment for sale in Jalahalli West, Bengaluru. This 2 BHK unit is available in Jalahalli West and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Jalahalli West. It is on floor 17. The total number of floors is 22. The price of this Apartment is Rs 71.0 L. The built-up area is 1080 Square feet. There are 2 bedrooms and 2 bathroom. The property is North-facing. This building is equipped with lift. This is a gated community. It is a thoroughly secure ...",3,"No",2,"Jalahalli West"
"Shreedevi Devin Indra Paradise","₹64.0 L","Devin Paradise Enclave",1140,5610,"Well-Maintained residence, with 24-Hour power backup, versatile security, surrounding gated community with ample greenery. Overall a peaceful and ambient locality. More About This Property Property for sale in Tirumanahalli, Bengaluru. This 2 BHK Apartment is located in Bengaluru's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 5. This Apartment's price is Rs 64.0 L. Homebuyers will also need to pay Rs 3000 towards maintenance. This Apartment is a spacious unit, with carpet area of 1...",3,"No",2,"Chokkanahalli"
"Godrej Nurture by Godrej Properties Ltd. ","₹90.0 L","Veer Sandra",991,9080,"Check out this 2 BHK Apartment for sale in Electronic City, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Electronic City is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 11. The total number of floors in this project is 23. The property's price is Rs 90.0 L. This property is a modern-day abode, with 991 Square feet built-up area. Educational institutions are closeby with schools such as M...",3,"Yes",2,"Electronic City Phase II"
"GM Sri Sai Enclave","₹110 L","Srinivasa Nagar",1490,7380,"Check out this 3 BHK Apartment for sale in Srinivasa Nagar, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Srinivasa Nagar is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 5. The property's price is Rs 110 L. Residents in this property pay Rs 1500 towards maintenance. This property is a modern-day abode, with 1490 Square feet built-up area. ...",3,"No",3,"Bangalore"
"Chitrkoot annex,Malleswaram, Bangalore","₹222 L","Chitrkoot annex,Malleswaram",1539,14420,"3 BHK Apartment for sale in Bengaluru. This property is in Malleshwaram, which is a coveted investment location. This tastefully designed 3 BHK unit is among Bengaluru's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Bengaluru is on floor 3. The total number of floors in this Apartment is 4. The price of the Apartment is Rs 222 L. Monthly maintenance charges come to Rs 2600. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1539 Sq...",3,"Yes",3,"Bangalore"
"Pyramid Banksia by Pyramid Ventures","₹70.0 L","Yelahanka",1044,6700,"Property for sale in Yelahanka, Bengaluru. This 2 BHK Apartment is located in Bengaluru's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 3. The total number of floors in this building is 4. This Apartment's price is Rs 70.0 L. The built-up area is 1044 Square feet. This Apartment is strategically located within close distance of famous healthcare centres such as K K Hospital, Navachethana Hospital, and Dr.Agarwals Eye Hospital, Yelahanka. Schools like Government Telugu Higher Primary School, Planet Kids Preschool, and Vijaya Jyothi ...",3,"No",2,"Bangalore"
"Sparkle Realty The Marquise","₹130 L","Hulimavu",1500,8670,"Check out this 3 BHK Apartment for sale in Hulimavu, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Hulimavu is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 8. The total number of floors in this project is 9. The property's price is Rs 130 L. This property is a modern-day abode, with 1500 Square feet built-up area. The unit has 3 bedrooms and 3 bathroom. Educational institutions are close...",3,"No",3,"Bangalore"
"Bhartiya city nikoo homes 2,Rachenahalli, Thanisandra,Bangalore","₹120 L","Bhartiya city nikoo homes 2,Rachenahalli",1551,7740,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Bengaluru's top location, Thanisandra. It is situated on floor 6. The total number of floors in this Apartment is 15. The property price of this unit is Rs 120 L. Monthly maintenance costs Rs 4000. The carpet area of this unit is 1012 Square feet. The built-up area is 1551 Square feet. There are 3 bedrooms and 3 bathroom. It is an ideal location for young families with kids, as this property is close to Near Jathawara Hosahalli, Governmen...",3,"Yes",3,"Thanisandra"
"Sobha Clovelly","₹240 L","Gaundanapalya",2135,11240,"Property for sale in Uttarahalli Hobli, Bengaluru. This 3 BHK Apartment is located in Bengaluru's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 13. The total number of floors in this building is 16. This Apartment's price is Rs 240 L. Homebuyers will also need to pay Rs 7000 towards maintenance. The built-up area is 2135 Square feet. The property has 3 bedrooms and 3 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as NU Hospitals (South), Sagar Hospitals Kumaraswamy Layout,...",4,"Yes",3,"Uttarahalli Hobli"
"DSMAX SANDALWOOD","₹85.0 L","Nagasandra",1411,6020,"Property for sale in Nagasandra, Bengaluru. This 3 BHK Apartment is located in Bengaluru's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 4. This Apartment's price is Rs 85.0 L. Homebuyers will also need to pay Rs 3300 towards maintenance. The built-up area is 1411 Square feet. The property has 3 bedrooms and 3 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Jindal Naturecure Institute, Chaya Nursing Home, and Kottakkal Ary...",3,"Yes",3,"Bangalore"
"Tetra Green Pride","₹85.0 L","Balaji Layout",1500,5670,"Check out this 3 BHK Apartment for sale in Chokkanahalli, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Chokkanahalli is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 0. The total number of floors in this project is 4. The property's price is Rs 85.0 L. Residents in this property pay Rs 2000 towards maintenance. This property is a modern-day abode, with 1500 Square feet built-up area. The ...",3,"Yes",3,"Chokkanahalli"
"DNA Iris","₹90.0 L","Dodsworth Layout",1272,7080,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Bengaluru's top location, Whitefield. It is situated on floor 2. The total number of floors in this Apartment is 4. The property price of this unit is Rs 90.0 L. Monthly maintenance costs Rs 0. The built-up area is 1272 Square feet. It is an ideal location for young families with kids, as this property is close to ArrowHead International Preschool, Podar Jumbo Kids Plus, and Narayana e-techno School. Healthcare facility is also close at ha...",3,"Yes",2,"Whitefield"
"Mythri Maiden","₹70.0 L","Somasundarapalya",1475,4750,"A 3 BHK Apartment for sale in Somasundarapalya, Bengaluru. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Somasundarapalya's most desired properties. Contact now for more information. This 3 BHK unit is on floor 4. There are 4 floors in this property. The price of this Apartment is Rs 70.0 L. Maintenance charges come to Rs 2900. Each unit has a built-up area of 1475 Square feet. The carpet area is 1032 Square feet. This North-West-facing property has an excellent view. There are 3 bedrooms. There is provision for 3 bathro...",3,"Yes",3,"Bangalore"
"Genesis Eco Sphere","₹125 L","Electronics City Phase 1",1854,6740,"Looking for a 3 BHK Apartment for sale in Bengaluru? Your search ends here. Buy this 3 BHK property in Bengaluru's finest location, Electronic City. This is an owner listed property and there is no brokerage involved. It is on floor 9 out of 10 floors. This Apartment is available at a reasonable price of Rs 125 L. Maintenance charges in this property is Rs 4000. The built up area of this property is 1854 Square feet. There are 3 bedrooms and 3 bathroom. There are a number of reputed schools in the vicinity such as Rhythmic Feet Electronic City - Zumba, Aerobics, Bollywood Dance, Fitness, Wei...",3,"Yes",3,"Electronic City"
"Nagashetty Halli, RMV Extension Stage 2,Bangalore","₹110 L","Nagashetty Halli",1150,9560,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Bengaluru's top location, RMV Extension Stage 2. It is situated on floor 3. The total number of floors in this Apartment is 4. The property price of this unit is Rs 99.0 L. Monthly maintenance costs Rs 2000. The built-up area is 1150 Square feet. There are 2 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to Bangalore Education Guide Line Pvt Ltd, Daffodils English School Association...",3,"Yes",22,"RMV Extension Stage 2"
"Mallasandra Village, T Dasarahalli,Bangalore","₹86.0 L","Mallasandra Village",1726,4980,"Check out this 3 BHK Apartment for sale in T Dasarahalli, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. T Dasarahalli is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 5. The total number of floors in this project is 5. The property's price is Rs 86.0 L. This property is a modern-day abode, with 1726 Square feet built-up area. Educational institutions are closeby with schools such as Mahima...",3,"Yes",3,"T Dasarahalli"
